# frame number (90fps), x (pixels), y (pixels; larger value is lower in frame)
38065, 64, 281
38066, 64, 281
38067, 65, 281
38068, 65, 281
38070, 65, 281
38073, 64, 280
38074, 64, 280
38075, 64, 279
38077, 64, 280
38078, 64, 280
38079, 64, 280
38081, 64, 278
38082, 64, 278
38083, 64, 278
38084, 64, 278
38085, 63, 278
38086, 63, 278
38087, 63, 278
38088, 63, 278
38089, 63, 278
38090, 63, 278
38091, 63, 278
38093, 64, 276
38094, 64, 276
38095, 64, 276
38096, 63, 276
38097, 64, 276
38098, 64, 276
38099, 64, 276
38100, 63, 274
38101, 63, 275
38102, 63, 275
38103, 62, 275
38104, 62, 275
38105, 62, 274
38106, 62, 274
38107, 62, 274
38109, 62, 273
38110, 62, 273
38111, 62, 273
38112, 62, 271
38113, 61, 272
38114, 61, 272
38115, 61, 272
38116, 61, 273
38117, 60, 271
38118, 60, 271
38119, 60, 271
38120, 59, 271
38121, 59, 270
38122, 59, 270
38123, 59, 270
38124, 59, 269
38125, 58, 269
38126, 58, 268
38127, 58, 268
38128, 58, 268
38129, 56, 267
38130, 56, 267
38131, 56, 267
38132, 56, 267
38149, 55, 260
38150, 55, 260
38151, 55, 260
38153, 55, 260
38154, 55, 260
38155, 55, 260
38156, 55, 259
38157, 55, 259
38158, 55, 259
38159, 55, 259
38165, 55, 258
38166, 55, 258
38169, 56, 258
38170, 56, 258
38171, 56, 258
38173, 56, 258
38174, 56, 257
38175, 56, 257
38177, 56, 257
38178, 56, 257
38181, 56, 256
38182, 56, 256
38183, 56, 256
38193, 58, 254
38194, 58, 254
38195, 58, 254
38196, 58, 254
38197, 57, 255
38198, 57, 255
38199, 57, 255
38205, 56, 253
38206, 56, 253
38207, 56, 253
38209, 56, 252
38210, 56, 252
38211, 56, 252
38212, 56, 252
38213, 56, 252
38214, 56, 252
38225, 56, 251
38226, 56, 251
38227, 56, 251
38229, 56, 250
38230, 56, 250
38231, 56, 250
38232, 56, 250
38233, 56, 250
38234, 56, 250
38235, 56, 250
38237, 57, 249
38238, 57, 249
38239, 57, 248
38245, 56, 248
38246, 56, 248
38247, 56, 248
38248, 55, 248
38249, 56, 247
38250, 56, 247
38251, 56, 247
38253, 56, 245
38254, 56, 245
38255, 56, 245
38256, 57, 245
38257, 56, 245
38258, 56, 245
38259, 56, 245
38261, 56, 244
38262, 56, 244
38263, 56, 244
38265, 56, 244
38266, 56, 244
38267, 56, 243
38273, 56, 241
38274, 56, 241
38275, 56, 241
38276, 56, 241
38277, 56, 242
38278, 56, 242
38279, 56, 242
38281, 56, 241
38282, 56, 241
38283, 57, 241
38293, 56, 238
38294, 56, 238
38295, 56, 238
38297, 56, 237
38298, 56, 237
38299, 56, 237
38300, 56, 237
38301, 56, 237
38302, 56, 237
38303, 56, 236
38305, 56, 236
38306, 56, 236
38307, 56, 235
38308, 56, 235
38309, 56, 235
38310, 56, 235
38311, 56, 235
38313, 55, 234
38314, 55, 234
38315, 55, 233
38316, 55, 233
38317, 56, 233
38318, 56, 233
38319, 56, 233
38321, 56, 233
38322, 56, 233
38323, 57, 233
38324, 57, 233
38325, 56, 232
38326, 56, 232
38327, 56, 231
38337, 56, 230
38338, 56, 230
38339, 56, 230
38340, 57, 230
38341, 57, 229
38342, 57, 229
38343, 57, 229
38345, 56, 228
38346, 56, 228
38353, 57, 227
38354, 57, 227
38355, 57, 227
38357, 56, 227
38358, 56, 227
38359, 56, 227
38360, 56, 227
38361, 57, 226
38362, 57, 226
38363, 57, 226
38365, 56, 225
38366, 56, 225
38367, 56, 224
38368, 56, 224
38369, 57, 224
38370, 57, 224
38371, 57, 224
38373, 56, 224
38374, 56, 224
38375, 56, 224
38381, 56, 222
38382, 56, 222
38385, 56, 221
38386, 56, 221
38389, 57, 220
38390, 57, 220
38391, 57, 220
38392, 58, 220
38393, 58, 220
38397, 57, 220
38398, 57, 220
38399, 57, 220
38400, 57, 219
38401, 56, 219
38402, 56, 219
38405, 57, 218
38406, 57, 218
38407, 57, 218
38409, 57, 218
38410, 57, 218
38411, 57, 218
38421, 59, 216
38422, 59, 216
38423, 59, 216
38424, 59, 216
38425, 59, 216
38426, 59, 216
38427, 59, 216
38428, 59, 215
38429, 57, 215
38430, 57, 215
38431, 58, 214
38441, 58, 212
38442, 58, 212
38443, 58, 212
38444, 58, 212
38445, 58, 212
38446, 58, 212
38447, 58, 212
38449, 59, 211
38450, 59, 211
38451, 58, 210
38453, 58, 209
38454, 58, 209
38455, 58, 209
38457, 58, 210
38458, 58, 210
38459, 58, 210
38465, 59, 209
38466, 59, 209
38467, 59, 209
38468, 59, 209
38469, 59, 209
38470, 59, 209
38471, 59, 209
38481, 60, 205
38482, 60, 205
38483, 60, 205
38485, 59, 205
38486, 59, 205
38487, 59, 205
38489, 60, 205
38490, 60, 205
38493, 59, 204
38494, 59, 204
38497, 59, 203
38501, 60, 203
38502, 60, 203
38503, 60, 203
38505, 60, 203
38506, 60, 203
38507, 60, 203
38534, 60, 197
38535, 60, 197
38537, 62, 197
38538, 62, 197
38565, 62, 194
38566, 62, 194
38567, 62, 194
38577, 63, 192
38578, 63, 192
38579, 62, 191
38581, 63, 191
38582, 63, 191
38583, 63, 191
38585, 63, 191
38586, 63, 191
38587, 63, 191
38589, 63, 189
38590, 63, 189
38593, 62, 188
38594, 62, 188
38595, 62, 188
